ID,Type,Article,Style,Color,Material,Aesthetic,Rain,Wind,Cold
1,Footwear,Shoe,Casual,Black,Textile,Hip,0,1,0
2,Footwear,Shoe,Classy,Brown,Leather,Office,0,1,0
3,Footwear,Shoe,Classy-casual,Black,Leather,Winter,1,1,1
4,Footwear,Shoe,Casual,Red,Rubber,Summer,0,0,0
5,Top,T-shirt,Casual,Pink,Cotton,Flower-power,0,0,0
6,Top,T-shirt,Casual,Black,Cotton,Goth,0,0,1
7,Top,T-shirt,Casual,White,Cotton,Light,0,0,0
8,Top,T-shirt,Casual,Orange,Cotton,Happy,0,0,0
9,Top,T-shirt,Casual,Black,Cotton,Hip,0,0,0
10,Top,Shirt,Classy-casual,White,Flax,Summer,0,0,0
11,Top,Shirt,Classy,White,Linen,Office,0,0,0
12,Top,Shirt,Classy,Black,Linen,Office,0,0,0
13,Top,Shirt,Casual,Red,Flannel,Winter,0,0,1
14,Bottom,Pants,Casual,Black,Jeans,Hip,0,1,0
15,Bottom,Pants,Casual,Blue,Jeans,Hip,0,1,0
16,Bottom,Pants,Classy-casual,Brown,Corduroy,Office,0,1,1
17,Top,Hoodie,Casual,Blue,Cotton,Hip,0,0,1
18,Top,Hoodie,Casual,Black,Cotton,Hip,0,0,1
19,Top,Blouse,Classy-casual,Orange,Cotton,Office,0,0,1
20,Top,Blouse,Casual,Blue,Cotton,Hip,0,0,1
21,Top,Blouse,Classy-casual,White,Cotton,Office,0,0,1
22,Outer,Jacket,Casual,Blue,Jeans,Autumn,1,1,1
23,Outer,Jacket,Casual,Black,Nylon,Autumn,1,1,0
122,Top,Blouse,Casual,Burgundy,Textile,Hip,0,0,1
